@relation Audio-weka.filters.unsupervised.instance.NonSparseToSparse
@attribute 'Volume' real
@attribute 'Number of Extreme Frequencies' real
@attribute 'Spectrul Flux' real
@attribute 'Type' {commercial, noncommercial}

@data
1.0056966465930318E7,1501.0,98606.51819520308,commercial
9560711.823504737,1642.0,111466.44041011852,commercial
2.039574438220948E7,1723.0,145486.87594147894,commercial
2.5097102300167173E7,1935.0,143781.03815791427,commercial
1.9104350853692994E7,2315.0,135532.4625214225,commercial
2.2214611957395937E7,2398.0,135647.9009639046,commercial
4.091672776678753E7,2103.0,193689.17078592902,commercial
2.9950916856542815E7,2626.0,144641.3459418542,commercial
1.4109064419026334E7,1878.0,114006.75511331954,commercial
1.7848008258437198E7,2380.0,146492.83342681543,commercial
1.1661394794136735E7,1432.0,116721.97246260625,commercial
1.1957561392758334E7,1747.0,121325.37816561841,commercial
1.9291465166271914E7,1824.0,124587.15531003542,commercial
2.3660802478087354E7,1853.0,131372.41817175923,commercial
5927893.222969226,1156.0,98822.19662027924,commercial
5240100.459412929,1202.0,68008.42459328011,commercial
3264071.475228513,1070.0,63855.15582509701,commercial
5789208.6081418395,1861.0,89629.59505559273,commercial
4.75863851105801E7,2601.0,181695.0274968861,commercial
1.9963647734927345E7,2163.0,108341.96719693925,commercial
1.2465530429981684E7,1461.0,88581.86075896144,commercial
2.957819796670979E7,1643.0,173017.67717553885,commercial
3.10411638527067E7,1640.0,160322.74116234737,commercial
4.148854491820286E7,1827.0,194865.8668647564,commercial
2.6691025458477654E7,1546.0,154317.99045220608,commercial
4.151838082917055E7,1652.0,176832.3944821614,commercial
9.086610946828873E7,1652.0,227826.86609721533,commercial
3.0217729081497237E7,1663.0,162758.38405962873,commercial
6.584204743766804E7,1928.0,209138.61500239416,commercial
3.7147528113609545E7,2141.0,167676.7473586204,commercial
4.422273399009483E7,1587.0,237602.40500728763,commercial
2.5081874100655943E7,1583.0,173114.03094669373,commercial
3.393208399740465E7,2171.0,162754.33616386718,commercial
2.5596234160170153E7,1604.0,163729.95064788885,commercial
5.154983918519145E7,2085.0,163577.66230891697,commercial
2.36700244409262E7,1517.0,178545.8379480746,commercial
9.465880793666777E7,2177.0,310050.57849654724,commercial
4.726983493335084E7,1842.0,224285.18062879684,commercial
4.731848647362477E7,2075.0,230221.50039770937,commercial
3.001443678533883E7,1799.0,172123.1764226832,commercial
1.3031268339299293E7,1819.0,98662.70162974112,commercial
1.2071042822493196E7,1838.0,87285.92030630751,commercial
18872.10467159364,1393.0,4275.385469392658,commercial
9251475.38181982,1861.0,83111.45334889526,commercial
6447360.067157497,1629.0,57114.41488491093,commercial
1033771.6482732751,1530.0,28658.065772789883,commercial
5765726.384590428,1124.0,80876.03002479735,commercial
4.90246236785537E7,2236.0,166774.9470433498,commercial
2.7153959392552033E7,1896.0,146041.060385178,commercial
1.0789973785694165E7,1398.0,123105.8657639662,commercial
1.1003285671595454E7,1172.0,111593.94151726212,commercial
2.284372188338308E7,1929.0,134318.25979429323,commercial
1.489063559150653E7,2348.0,95038.34569349157,commercial
1.2611505128166264E7,1275.0,106598.55244758663,commercial
2.760742413888565E7,1965.0,160725.12050561118,commercial
1.013319152483011E7,1487.0,90183.7811226619,commercial
2.610262230846481E7,2387.0,126749.02534919692,commercial
1.0117203558364304E7,1547.0,103029.92823585295,commercial
3.2623860438394316E7,1664.0,161960.9454645218,commercial
1627733.4815413123,994.0,53185.66726498662,commercial
1.0639719328081531E7,1595.0,83791.12495262016,commercial
2382404.6812825846,1740.0,41592.67192372551,commercial
2.8688595725038502E7,1265.0,167313.93651799086,commercial
3.3318650869689666E7,2450.0,143995.1582832784,commercial
1.0525988092376677E7,2685.0,88005.60364630305,commercial
3466672.7532678028,1403.0,58716.86297891578,commercial
1.2986049632440459E7,1950.0,101164.4780442185,commercial
8531324.963984467,1674.0,81645.30775883413,commercial
1.598076510787661E7,1321.0,123784.31169223189,commercial
1.3912529751094095E7,1803.0,137726.74022234362,commercial
2.257972334257035E7,1742.0,145906.6285825712,commercial
2.7864138381719388E7,2179.0,135798.86486899704,commercial
2.0231366475486003E7,1408.0,144028.45880029726,commercial
2.4212900276578955E7,1430.0,146783.00499369725,commercial
2.288899268880391E7,1902.0,146882.0907500552,commercial
1.0598889641055061E8,2117.0,260717.42351414877,noncommercial
7.983795252590975E7,2432.0,227627.3820008039,noncommercial
2.686388267324741E7,2212.0,156972.4994799545,noncommercial
1.9479502414335046E7,1831.0,155710.9640216047,noncommercial
9.427673874643958E7,2026.0,243552.71146535745,noncommercial
5094693.525664319,1721.0,70612.92085769537,noncommercial
3.1346443763864513E7,1939.0,165596.0036469291,noncommercial
1.5697352231458834E8,2677.0,254252.08700626768,noncommercial
1.61137642661885E8,1806.0,333835.5937281499,noncommercial
5.771874349513988E7,1558.0,228508.95454234167,noncommercial
7.04495685753939E7,1762.0,214827.20281393782,noncommercial
7.680993653535348E7,1849.0,236664.22072342646,noncommercial
3.6378508183645405E7,2080.0,158771.66855174454,noncommercial
1.004032825764109E8,2376.0,277665.04077456746,noncommercial
9.063035352525488E7,2371.0,215253.8784758817,noncommercial
3.810967149221504E7,1491.0,208079.65467834362,noncommercial
6.310865916171179E7,1469.0,223272.73999761787,noncommercial
1.0697999966632952E8,2078.0,281948.56910482864,noncommercial
4.772145380165345E7,1965.0,199541.75496790154,noncommercial
4.6123779120176665E7,1815.0,218301.51612687908,noncommercial
1.0137544448946027E7,2148.0,102797.75722196753,noncommercial
2.5409531691089652E7,1517.0,162261.56941934413,noncommercial
1382229.4108412059,2141.0,25006.09640509934,noncommercial
3.548848615450851E7,2808.0,136157.34284662412,noncommercial
330725.1183040911,1386.0,15741.074183220957,noncommercial
1.1084986896906686E8,2558.0,230236.0247515837,noncommercial
4.242045970028881E7,2079.0,133578.94726278313,noncommercial
1.0005091381170969E8,2335.0,264466.0146861102,noncommercial
9.63655727629283E7,2280.0,220181.76768183307,noncommercial
2.1094676165301E7,1871.0,147520.2216532056,noncommercial
5.5873319193291165E7,1951.0,228134.20288359004,noncommercial
1.7744262285806183E7,2059.0,114632.36466185738,noncommercial
1.0899639590292564E8,2728.0,261451.03819156837,noncommercial
